"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
1311.1464830203,-0.00162022651906291
1386.34982075722,-0.00167242039206287
1465.86659111209,-0.00233020869731535
1549.94419933992,-0.00256925502092244
1638.84424110172,-0.00212972330499342
1732.84331638267,-0.00179519585264481
1832.23389009409,-0.00178214717054944
1937.32520203688,-0.00203956570206875
2048.44422905773,-0.00196423736984908
2165.93670239161,-0.00161963340867147
2290.16818335592,-0.00020873843261643
2421.52520074312,-0.000246098397259333
2560.4164534508,-0.000129274915223306
2707.27408209079,0.000779166769380723
2862.55501353401,0.00146992208267049
3026.74238257413,0.00171300745146783
3200.34703513365,0.00264615492577711
3383.90911768914,0.00239123894823975
3577.9997578611,0.0022240574310908
3783.22284139728,0.00162111012403113
4000.21689107833,0.000340968184070175
4229.65705339164,-0.000470261559742554
4472.25719915479,-0.00121217614113233
4728.77214462424,-0.00178155404910126
5000.00000000004,-0.00191441426495939

